0, 2200, -300, 1300
5.0123560428619385, 940, 321, 778, 249
5.0223548412323, 940, 321, 778, 249
5.039355754852295, 1040, 229, 768, 244
5.0563530921936035, 1036, 229, 762, 229
5.081353664398193, 1036, 229, 762, 229
5.0903918743133545, 1036, 229, 762, 229
5.107351303100586, 1027, 229, 749, 224
5.124380111694336, 1016, 229, 745, 209
5.14935302734375, 1016, 229, 745, 209
5.1583850383758545, 1003, 238, 731, 202
5.175353527069092, 1003, 238, 731, 202
5.192354679107666, 993, 238, 702, 215
5.217381954193115, 993, 238, 702, 215
5.226360321044922, 993, 238, 702, 215
5.2433600425720215, 993, 238, 702, 215
5.26035475730896, 935, 213, 946, 189
5.283354759216309, 935, 213, 946, 189
5.294356107711792, 932, 193, 985, 168
5.311354637145996, 932, 193, 985, 168
5.335355520248413, 867, 235, 1081, 206
5.345387935638428, 867, 235, 1081, 206
5.362353563308716, 552, 578, 1089, 206
5.379358768463135, 552, 578, 1089, 206
5.403384447097778, 548, 572, 1097, 195
5.413386821746826, 548, 572, 1097, 195
5.430351257324219, 537, 572, 1107, 192
5.447352886199951, 537, 572, 1107, 192
5.470354318618774, 532, 593, 1114, 192
5.481353521347046, 532, 593, 1114, 192
5.498394250869751, 525, 596, 1109, 224
5.515352249145508, 525, 596, 1109, 224
5.53235387802124, 524, 592, 1115, 230
5.549354076385498, 524, 592, 1115, 230
5.56637167930603, 519, 597, 1221, 199
5.583364248275757, 519, 597, 1221, 199
5.608358383178711, 514, 605, 1106, 199
5.617352247238159, 514, 605, 1106, 199
5.634386301040649, 566, 474, 1108, 192
5.651355028152466, 566, 474, 1108, 192
5.6753551959991455, 578, 488, 1221, 199
5.685407638549805, 578, 488, 1221, 199
5.820356607437134, 579, 467, 930, 837
5.9323530197143555, 775, 646, 602, 497
6.042389869689941, 602, 442, 650, 468
6.14635705947876, 679, 616, 709, 427
6.251354694366455, 805, 591, 697, 738
6.363351583480835, 808, 366, 1128, 522
6.485386610031128, 840, 376, 1159, 542
6.602356910705566, 880, 378, 991, 956
6.707387924194336, 966, 591, 997, 945
6.811354875564575, 940, 587, 983, 940
6.943352460861206, 899, 535, 848, 724
7.04635763168335, 834, 459, 1146, 459
7.173388719558716, 788, 401, 1127, 414
7.28935432434082, 783, 378, 708, 285
7.406352758407593, 779, 358, 709, 384
7.524352073669434, 778, 384, 704, 392
7.631353139877319, 778, 396, 731, 499
7.732354402542114, 793, 428, 754, 508
7.896352767944336, 821, 471, 1221, 0
8.003353595733643, 816, 463, 1252, 0
8.114356994628906, 802, 450, 1244, 0
8.239359617233276, 812, 463, 1261, 0
8.338356018066406, 818, 476, 1280, 0
8.450383186340332, 780, 407, 1294, 0
8.559387445449829, 777, 404, 1184, 321
8.666354417800903, 777, 408, 721, 596
8.771355152130127, 774, 405, 776, 743
8.903356552124023, 775, 404, 775, 746
9.013354063034058, 777, 408, 724, 712
9.122355699539185, 779, 408, 781, 734
9.245354652404785, 794, 417, 783, 774
9.353386878967285, 893, 506, 714, 540
9.459357738494873, 856, 481, 709, 572
9.571367502212524, 881, 536, 877, 391
9.679354667663574, 881, 538, 888, 408
16.853464603424072, 913, 917, 1363, 1134
16.96343684196472, 1125, 358, 1386, 1128
17.07845687866211, 1133, 395, 1406, 1121
17.186424493789673, 939, 945, 1430, 1121
17.297457933425903, 908, 925, 1485, 1126
17.4074604511261, 606, 995, 1538, 1131
17.509426832199097, 597, 1016, 1589, 1136
17.62645697593689, 601, 1025, 1598, 1098
17.73545789718628, 608, 1034, 1613, 1090
17.845458507537842, 617, 1040, 1621, 1103
17.958423852920532, 622, 1043, 1628, 1104
18.07345676422119, 633, 1044, 1645, 1108
18.183429956436157, 639, 1048, 1648, 1109
18.30742383003235, 641, 1050, 1628, 1056
18.422451972961426, 642, 1047, 1636, 1035
18.535451412200928, 642, 1049, 1635, 1038
18.65044856071472, 641, 1057, 1653, 1059
18.762428045272827, 640, 1066, 1658, 1047
18.881423473358154, 638, 1077, 1644, 1003
18.98444151878357, 638, 1081, 1646, 997
19.108463048934937, 649, 1057, 1872, 838
19.242429494857788, 661, 984, 1886, 774
19.374424695968628, 651, 870, 1881, 716
19.495421171188354, 660, 870, 1862, 709
19.622422695159912, 678, 842, 1669, 904
19.74342155456543, 654, 801, 1639, 906
19.86042356491089, 656, 716, 1485, 733
19.975427865982056, 642, 766, 1405, 759
20.09142279624939, 680, 824, 1493, 855
20.209425926208496, 660, 824, 1345, 1160
20.32345461845398, 722, 794, 1234, 1172
20.437438488006592, 709, 811, 991, 852
20.548426389694214, 660, 862, 974, 746
20.65545892715454, 652, 907, 1094, 577
20.764424324035645, 762, 734, 1363, 702
20.87942600250244, 738, 691, 1407, 646
20.98345685005188, 686, 765, 964, 874
21.098459720611572, 686, 871, 902, 723
21.212421655654907, 658, 931, 943, 610
21.314457654953003, 733, 714, 1045, 555
21.42742657661438, 777, 588, 1129, 698
21.539449214935303, 709, 576, 1390, 737
21.652424812316895, 694, 647, 1278, 907
21.766457080841064, 669, 788, 902, 980
21.89042639732361, 620, 808, 857, 756
22.00045156478882, 694, 724, 905, 600
22.11445665359497, 762, 596, 973, 453
22.226433277130127, 727, 538, 1244, 391
22.35242199897766, 736, 605, 1542, 572
22.478420972824097, 727, 684, 1584, 697
22.592422008514404, 716, 728, 1551, 826
22.706451892852783, 604, 869, 1348, 855
22.821420907974243, 626, 821, 977, 981
22.940462112426758, 707, 643, 894, 648
23.05342173576355, 738, 542, 954, 464
23.19542121887207, 714, 581, 1247, 358
23.318422555923462, 736, 650, 1554, 555
23.455421686172485, 740, 705, 1522, 674
23.587438106536865, 630, 801, 1422, 700
23.707422971725464, 621, 789, 1212, 896
23.83745813369751, 707, 683, 1024, 728
23.961437225341797, 689, 524, 1009, 541
24.078428745269775, 778, 565, 999, 480
24.190425157546997, 848, 518, 1003, 492
24.307425260543823, 874, 509, 1143, 485
24.424452781677246, 876, 518, 1077, 524
24.53045630455017, 875, 517, 1074, 535
24.634421586990356, 871, 591, 1076, 531
24.739426851272583, 875, 593, 1046, 555
24.86042356491089, 918, 572, 1037, 560
24.96942687034607, 920, 554, 1045, 551
25.07345747947693, 886, 555, 1054, 526
25.182421684265137, 959, 494, 1086, 526
25.28845715522766, 953, 495, 1059, 524
25.39242148399353, 953, 494, 1073, 513
25.497426748275757, 952, 492, 1073, 513
25.59445285797119, 952, 492, 1077, 444
25.69542121887207, 951, 492, 1075, 518
25.798426389694214, 951, 491, 1090, 523
25.90843105316162, 950, 491, 1062, 504
26.01142382621765, 949, 490, 1073, 450
26.11842179298401, 949, 488, 1226, 384
26.230424404144287, 949, 487, 1226, 382
26.34742498397827, 949, 486, 1226, 382
26.46142339706421, 949, 487, 1226, 380
26.571422815322876, 949, 487, 1226, 380
26.691465854644775, 950, 486, 1227, 380
26.805426120758057, 949, 487, 1227, 380
26.914421558380127, 950, 487, 1227, 380
27.02242350578308, 950, 488, 1228, 382
27.12842106819153, 949, 492, 1228, 382
27.238424062728882, 889, 551, 1222, 384
27.33842182159424, 948, 491, 1226, 385
27.447457313537598, 880, 561, 1226, 385
27.55342721939087, 947, 492, 1226, 385
27.649426221847534, 948, 492, 1222, 386
27.762458324432373, 948, 492, 1223, 386
27.873451948165894, 947, 492, 1230, 385
27.979421138763428, 948, 494, 1230, 385
28.087422132492065, 958, 490, 1231, 385
28.18143081665039, 956, 491, 1228, 386
28.291422367095947, 947, 439, 1234, 385
28.3904230594635, 951, 453, 1235, 385
28.497459411621094, 975, 483, 1234, 385
28.600421905517578, 952, 440, 1239, 384
28.70942211151123, 956, 439, 1237, 384
28.821425676345825, 876, 569, 1241, 384
28.92342472076416, 816, 592, 1112, 455
29.028451681137085, 736, 651, 1018, 564
29.147425413131714, 675, 760, 995, 687
29.261422634124756, 682, 942, 1083, 1310
29.37842297554016, 703, 1020, 1129, 1523
29.52542519569397, 689, 1062, 1169, 1465
29.662423849105835, 686, 935, 1185, 1259
29.784423351287842, 679, 842, 1387, 839
29.897423267364502, 758, 748, 1538, 568
30.007422924041748, 788, 723, 1619, 579
30.117422342300415, 824, 679, 1652, 633
30.230421543121338, 836, 663, 1658, 637
30.337458848953247, 826, 659, 1650, 610
30.44542169570923, 812, 657, 1639, 590
30.552427291870117, 771, 688, 1630, 584
30.66845703125, 801, 645, 1631, 587
30.763420820236206, 716, 669, 1637, 583
30.877452611923218, 750, 636, 1645, 576
30.98942232131958, 630, 670, 1650, 582
31.113423109054565, 636, 664, 1652, 620
31.228461265563965, 691, 593, 1634, 606
31.34445834159851, 588, 682, 1637, 608
31.452426433563232, 680, 684, 1636, 609
31.558421850204468, 761, 695, 1636, 613
31.660422801971436, 731, 679, 1638, 610
31.767459630966187, 662, 657, 1638, 606
31.881421327590942, 608, 637, 1633, 610
31.981425523757935, 599, 666, 1630, 552
32.09642195701599, 697, 656, 1478, 446
32.21042466163635, 715, 663, 1428, 531
32.3194215297699, 749, 702, 1208, 433
32.43242573738098, 756, 663, 742, 608
32.54342770576477, 754, 656, 751, 613
32.65642428398132, 757, 666, 793, 618
32.77442264556885, 817, 647, 741, 596
32.888423204422, 772, 656, 860, 582
33.00742197036743, 724, 651, 1279, 568
33.11642241477966, 806, 636, 1517, 570
33.23342156410217, 924, 427, 1628, 550
33.33842158317566, 768, 622, 1662, 536
33.43842053413391, 862, 593, 1638, 613
33.55342197418213, 926, 615, 1635, 613
33.66245198249817, 803, 618, 1640, 599
33.77444505691528, 672, 620, 1640, 559
33.88242244720459, 590, 599, 1620, 513
33.994423389434814, 590, 624, 1509, 533
34.10142469406128, 617, 592, 1288, 445
34.21942687034607, 697, 611, 939, 524
34.341434717178345, 786, 665, 764, 545
34.46142578125, 800, 661, 930, 495
34.57844805717468, 785, 652, 933, 491
34.68742346763611, 743, 631, 784, 481
34.80345845222473, 678, 614, 902, 473
34.91446042060852, 609, 605, 1003, 497
35.019420862197876, 557, 634, 1423, 488
35.1354501247406, 648, 604, 1476, 449
35.24342632293701, 759, 636, 1536, 463
35.35744881629944, 867, 665, 1608, 468
35.48342490196228, 808, 610, 1585, 451
35.60046434402466, 644, 600, 1469, 403
35.71142220497131, 598, 600, 1466, 451
35.82546091079712, 616, 608, 1193, 488
35.93845844268799, 677, 590, 890, 500
36.045456886291504, 740, 641, 815, 524
36.16445875167847, 803, 659, 914, 536
36.2884247303009, 792, 654, 856, 540
36.41142439842224, 747, 637, 831, 510
36.535423278808594, 644, 599, 922, 482
36.64645433425903, 605, 622, 1247, 494
36.76242184638977, 653, 614, 1434, 602
36.883424282073975, 838, 631, 1476, 450
37.00742483139038, 890, 678, 1528, 467
37.11342120170593, 815, 655, 1491, 455
37.233458280563354, 638, 648, 1378, 522
37.339473247528076, 599, 643, 1363, 469
37.45247673988342, 641, 605, 1071, 524
37.56643080711365, 687, 597, 904, 477
37.677424907684326, 742, 619, 833, 544
37.779419898986816, 759, 619, 821, 541
37.893423557281494, 741, 611, 928, 496
37.9994580745697, 709, 602, 828, 522
38.111422538757324, 639, 604, 892, 496
38.22642755508423, 611, 619, 1292, 433
38.33443737030029, 739, 611, 1428, 446
38.44142436981201, 876, 668, 1480, 474
38.55245757102966, 962, 599, 1578, 541
38.66942858695984, 855, 640, 1548, 477
38.7804594039917, 742, 638, 1442, 426
38.89742422103882, 625, 654, 1430, 418
39.01242804527283, 614, 682, 1256, 440
39.12442088127136, 678, 770, 1172, 491
39.247438192367554, 714, 785, 1024, 778
39.365424394607544, 838, 631, 877, 768
39.47745227813721, 841, 596, 903, 622
39.58642315864563, 796, 648, 905, 506
39.71142339706421, 808, 616, 971, 426
39.832422494888306, 726, 669, 971, 359
39.95442533493042, 633, 870, 1001, 369
40.06743597984314, 605, 1040, 1018, 363
40.17944645881653, 639, 1048, 1085, 376
40.28543567657471, 650, 999, 1064, 364
40.38744139671326, 655, 796, 1052, 392
40.49442195892334, 672, 618, 1013, 451
40.60142111778259, 742, 478, 956, 574
40.71545696258545, 816, 463, 983, 801
